Date,SP500_Ret,SP500_HS,SP500_GARCH,BTC_Ret,BTC_HS,BTC_GARCH
10/18/2024,0.003963687,0.029967231,0.016399293,0.015004897,0.10972874,0.084460758
10/21/2024,-0.001824433,0.029967231,0.015818312,-0.015479556,0.10972874,0.083431339
10/22/2024,-0.000474967,0.029546617,0.015246282,-9.57E-05,0.10972874,0.082438599
10/23/2024,-0.009233824,0.029546617,0.01469575,-0.013890438,0.10972874,0.080632036
10/24/2024,0.002143473,0.029546617,0.016097963,0.025691548,0.10972874,0.079365225
10/25/2024,-0.000299492,0.029546617,0.01547549,-0.022532133,0.10972874,0.07902429
10/28/2024,0.002647935,0.029546617,0.014929522,0.047835405,0.10972874,0.078868295
10/29/2024,0.001612826,0.029546617,0.014438326,0.039446591,0.10972874,0.082068667
10/30/2024,-0.003305692,0.029546617,0.013931259,-0.005252363,0.10972874,0.08388761
10/31/2024,-0.018790135,0.029546617,0.013793884,-0.029806221,0.10972874,0.082060078
11/1/2024,0.004084158,0.029546617,0.019744321,-0.010490161,0.10972874,0.08233757
11/4/2024,-0.002816045,0.029546617,0.019045983,-0.02434256,0.10972874,0.080765555
11/5/2024,0.012191031,0.029546617,0.018403382,0.022572112,0.10972874,0.080612488
11/6/2024,0.024981281,0.029546617,0.019449661,0.086669031,0.10972874,0.080204311
11/7/2024,0.007403754,0.029546617,0.025975845,0.00350765,0.10972874,0.092657455
11/8/2024,0.003749794,0.029546617,0.02511856,0.008404323,0.10972874,0.090753549
11/11/2024,0.000968594,0.029546617,0.023895115,0.147391595,0.10972874,0.089417893
11/12/2024,-0.002896851,0.029546617,0.02270729,-0.008442066,0.10972874,0.121381004
11/13/2024,0.000232201,0.029546617,0.021812245,0.02944485,0.10972874,0.117816027
11/14/2024,-0.006068109,0.029546617,0.020810223,-0.037496922,0.10972874,0.116756318
11/15/2024,-0.013291431,0.029546617,0.020554535,0.042802118,0.10972874,0.116422283
11/18/2024,0.00391016,0.029546617,0.022352636,-0.005763697,0.10972874,0.117037279
11/19/2024,0.003955751,0.029546617,0.021395504,0.019697543,0.10972874,0.114056776
11/20/2024,2.20E-05,0.029546617,0.020524209,0.021381445,0.10972874,0.112411342
11/21/2024,0.005326252,0.029546617,0.019622945,0.043204637,0.10972874,0.111607527
11/22/2024,0.00346196,0.029546617,0.019063645,0.004991722,0.10972874,0.112315453
11/25/2024,0.003015928,0.029546617,0.018332388,-0.061397399,0.10972874,0.109585815
11/26/2024,0.005705697,0.029546617,0.01761315,-0.012069853,0.10972874,0.113326883
11/27/2024,-0.003808481,0.029546617,0.017262548,0.042328813,0.10972874,0.111112516
11/29/2024,0.00559212,0.029546617,0.016923485,0.015499853,0.10972874,0.111443435
12/2/2024,0.002445464,0.029546617,0.016587934,-0.016513539,0.10972874,0.109493967
12/3/2024,0.000451347,0.029546617,0.015947035,0.001426603,0.10972874,0.10736946
12/4/2024,0.006033182,0.029546617,0.015320981,0.028408311,0.10972874,0.104863937
12/5/2024,-0.001871526,0.029546617,0.015193373,-0.022266865,0.10972874,0.103600891
12/6/2024,0.002492345,0.029546617,0.014762641,0.033864802,0.10972874,0.102673914
12/9/2024,-0.006163167,0.029546617,0.014238164,-0.025214905,0.10972874,0.102047033
12/10/2024,-0.002968284,0.029546617,0.014794101,-0.007802794,0.10972874,0.101291263
12/11/2024,0.008132626,0.029546617,0.014557317,0.04547295,0.10972874,0.099717105
12/12/2024,-0.005428731,0.029546617,0.014985347,-0.011232138,0.10972874,0.100778366
12/13/2024,-2.65E-05,0.029546617,0.015180027,0.014057223,0.10972874,0.09881297
12/16/2024,0.003792155,0.029546617,0.014638507,0.044062103,0.10972874,0.097301288
12/17/2024,-0.003871479,0.029546617,0.014227065,0.001045225,0.10972874,0.09832908
12/18/2024,-0.029936505,0.029546617,0.014180752,-0.059179155,0.10972874,0.096267096
12/19/2024,-0.000865487,0.029936766,0.026655309,-0.025825905,0.10972874,0.100092371
12/20/2024,0.010810479,0.029936766,0.025258288,0.002714274,0.10972874,0.098893106
12/23/2024,0.00726085,0.029936766,0.025096364,-0.031905147,0.10972874,0.097324367
12/24/2024,0.010982233,0.029936766,0.024337922,0.041273994,0.10972874,0.096730231
12/26/2024,-0.000405741,0.029936766,0.024422164,-0.029626832,0.10972874,0.097299199
12/27/2024,-0.011117305,0.029936766,0.023265962,-0.017168805,0.10972874,0.097190916
12/30/2024,-0.010759674,0.029936766,0.023894066,-0.016291396,0.10972874,0.096091302
12/31/2024,-0.004294006,0.029936766,0.024418316,0.00844829,0.10972874,0.095152016
1/2/2025,-0.002226363,0.029936766,0.023582517,0.036340097,0.10972874,0.093739987
1/3/2025,0.012517357,0.029936766,0.022633947,0.012519039,0.106062422,0.093544655
1/6/2025,0.005522766,0.029936766,0.023138101,0.039674969,0.106062422,0.092336191
1/7/2025,-0.011166022,0.029936766,0.02233925,-0.051824283,0.106062422,0.093122491
1/8/2025,0.001559144,0.029936766,0.023045026,-0.019578858,0.106062422,0.096010712
1/10/2025,-0.015531638,0.029936766,0.022007318,-0.003605584,0.106062422,0.095343794
1/13/2025,0.001574204,0.029936766,0.024168473,-0.001954674,0.106062422,0.093667823
1/14/2025,0.001145623,0.029936766,0.023117486,0.021121093,0.106062422,0.091867003
1/15/2025,0.018147133,0.029936766,0.022085543,0.040306661,0.105434627,0.090453434
1/16/2025,-0.002114924,0.029936766,0.024391648,-0.007466136,0.105434627,0.091620639
1/17/2025,0.009941478,0.029936766,0.023398522,0.046087454,0.105434627,0.090096519
1/21/2025,0.008730009,0.029936766,0.023253592,0.015994265,0.105434627,0.091278024
1/22/2025,0.006119181,0.029936766,0.022905167,-0.023768547,0.105434627,0.090357119
1/23/2025,0.005299419,0.029936766,0.022186689,0.002958403,0.105434627,0.089914335
1/24/2025,-0.002859216,0.029936766,0.021439704,0.008231811,0.105434627,0.088515844
1/27/2025,-0.014688059,0.029936766,0.02073277,-0.026407549,0.105434627,0.087073402
1/28/2025,0.009175644,0.029936766,0.022978165,-0.007425168,0.105434627,0.087229632
1/29/2025,-0.004689876,0.029936766,0.022692788,0.023126121,0.105434627,0.086365275
1/30/2025,0.005261548,0.029936766,0.022088318,0.009903181,0.105434627,0.085484429
1/31/2025,-0.005059604,0.029936766,0.021330774,-0.022500491,0.105434627,0.084375854
2/3/2025,-0.007637691,0.029936766,0.020862069,-0.009809209,0.105434627,0.082730243
2/4/2025,0.007198907,0.029936766,0.020882333,-0.035467893,0.105434627,0.081280067
2/5/2025,0.003901054,0.029936766,0.020480204,-0.012920049,0.105434627,0.08239347
2/6/2025,0.003637674,0.029936766,0.019703174,-0.00022927,0.105434627,0.081650241
2/7/2025,-0.009509846,0.029936766,0.018998506,-0.000664977,0.105434627,0.079991319
2/10/2025,0.006690112,0.029936766,0.019655622,0.009367336,0.105434627,0.078731124
2/11/2025,0.000339525,0.029936766,0.01924505,-0.017497924,0.105434627,0.077809819
2/12/2025,-0.002727583,0.029936766,0.018443924,0.022088316,0.105434627,0.076883211
2/13/2025,0.010372313,0.029936766,0.017883261,-0.012976317,0.105434627,0.076812267
2/14/2025,-7.19E-05,0.029936766,0.018412449,0.009118578,0.105434627,0.075872017
2/18/2025,0.002442004,0.029936766,0.017649067,-0.020404096,0.105434627,0.074683811
2/19/2025,0.002374149,0.029936766,0.016985256,0.011407035,0.105434627,0.074281028
2/20/2025,-0.004343605,0.029936766,0.016400261,0.017421911,0.105434627,0.073460308
2/21/2025,-0.017211397,0.029936766,0.016198232,-0.022714095,0.105434627,0.072643708
2/24/2025,-0.004981494,0.029936766,0.020204211,-0.050210841,0.105434627,0.073054493
2/25/2025,-0.004690715,0.029936766,0.019844817,-0.029776669,0.105434627,0.077446074
2/26/2025,0.000136015,0.029936766,0.019402204,-0.050728086,0.105434627,0.078303271
2/27/2025,-0.015991743,0.029936766,0.01874567,0.004225981,0.105434627,0.082258757
2/28/2025,0.01572978,0.029936766,0.021480569,-0.003917963,0.105434627,0.080645079
3/3/2025,-0.017753403,0.029936766,0.022984956,0.019863093,0.105434627,0.079734149
3/4/2025,-0.012310288,0.029936766,0.025854474,0.013348201,0.105434627,0.079516474
3/5/2025,0.011097473,0.029936766,0.026284622,0.038255419,0.105434627,0.078506509
3/6/2025,-0.017979677,0.029936766,0.026207969,-0.007329932,0.105434627,0.080240786
3/7/2025,0.005505435,0.029936766,0.028673824,-0.036438378,0.105434627,0.078721407
3/10/2025,-0.027343542,0.029936766,0.027426316,-0.099439756,0.105434627,0.080152384
3/11/2025,-0.007596647,0.029936766,0.033623807,0.053672934,0.105434627,0.095588778
3/12/2025,0.004874968,0.029936766,0.032503102,0.01032696,0.105434627,0.099035559
3/13/2025,-0.013988367,0.029936766,0.030981415,-0.032233768,0.105434627,0.096895538
3/14/2025,0.021042906,0.029936766,0.031472724,0.035176581,0.105434627,0.096531293
3/17/2025,0.006395635,0.029936766,0.03349166,0.001268542,0.105434627,0.097389622
3/18/2025,-0.010710667,0.029936766,0.032061602,-0.016274158,0.105434627,0.095007308
3/19/2025,0.010740608,0.029936766,0.031608163,0.048787879,0.105434627,0.093919094
3/20/2025,-0.002187284,0.029936766,0.030821812,-0.031425916,0.105434627,0.095975448
3/21/2025,0.000824314,0.029936766,0.029470942,-0.001473787,0.105434627,0.096649623
3/24/2025,0.017492117,0.029936766,0.027957143,0.040294928,0.105434627,0.095387543
3/25/2025,0.001573095,0.029936766,0.029301394,-0.000311034,0.105434627,0.096140147
3/26/2025,-0.01121964,0.029936766,0.027842951,-0.006547157,0.105434627,0.093855099
3/27/2025,-0.003312461,0.029936766,0.027984004,0.003173509,0.105434627,0.091789301
3/28/2025,-0.019934601,0.029936766,0.026811956,-0.032929566,0.105434627,0.089793857
3/31/2025,0.00552324,0.029936766,0.029836373,-0.021621119,0.105434627,0.089834043
4/1/2025,0.003774105,0.029936766,0.02856481,0.031248521,0.105434627,0.089282557
4/2/2025,0.006705661,0.029936766,0.027257042,-0.032014458,0.105434627,0.089586311
4/3/2025,-0.049605912,0.029936766,0.026278825,0.007453656,0.105434627,0.089379185
4/4/2025,-0.061609062,0.029967231,0.045487064,0.008876866,0.105434627,0.08800876
4/7/2025,-0.002334195,0.030448386,0.066673035,-0.05653324,0.105434627,0.087139388
4/8/2025,-0.015825083,0.030448386,0.062500132,-0.038117076,0.105434627,0.090701303
4/9/2025,0.09089488,0.030448386,0.060466552,0.079389009,0.105434627,0.091137488
4/10/2025,-0.035220607,0.030448386,0.095014455,-0.036351855,0.105434627,0.099525489
4/11/2025,0.017930381,0.032566426,0.094233932,0.046363854,0.105434627,0.099988488
4/14/2025,0.007913319,0.032566426,0.089488625,0.01354678,0.105434627,0.101263468
4/15/2025,-0.001729275,0.032566426,0.084163692,-0.010384628,0.105434627,0.099705919
4/16/2025,-0.022663254,0.032566426,0.079218344,0.004351453,0.105434627,0.098190763
4/17/2025,0.001325959,0.032566426,0.077051634,0.010204135,0.105434627,0.095944065
4/21/2025,-0.023849648,0.032566426,0.072419196,0.030430808,0.105434627,0.094903933
4/22/2025,0.024806952,0.032566426,0.071072119,0.065484911,0.105434627,0.094416848
4/23/2025,0.016523864,0.032566426,0.069723548,0.002748932,0.105434627,0.098946412
4/24/2025,0.020056628,0.032566426,0.066740193,0.002608014,0.105434627,0.096950436
4/25/2025,0.007346085,0.032566426,0.064747958,0.008233752,0.105434627,0.095603548
4/28/2025,0.000640502,0.032566426,0.0610568,0.002722733,0.105434627,0.093630693
4/29/2025,0.005785642,0.032566426,0.057177554,-0.007333309,0.105434627,0.092426932
4/30/2025,0.001478897,0.032566426,0.053502766,-0.000822067,0.105434627,0.091510092
5/1/2025,0.006279346,0.032566426,0.049711453,0.023965779,0.105434627,0.089808749
5/2/2025,0.014619191,0.032566426,0.046214149,0.004319853,0.105434627,0.088961644
5/5/2025,-0.006402047,0.032566426,0.044736978,-0.022562126,0.105434627,0.087520286
5/6/2025,-0.007722985,0.032566426,0.041827483,0.021451266,0.105434627,0.086751884
5/7/2025,0.004336938,0.032566426,0.040057976,0.002371544,0.102145564,0.086127585
5/8/2025,0.005783021,0.032566426,0.036919003,0.062026404,0.102145564,0.084432303
5/9/2025,-0.000711734,0.032566426,0.034393665,-0.002624572,0.102145564,0.089103847
5/12/2025,0.032039977,0.032566426,0.03116259,-0.001534605,0.099466483,0.087627884
5/13/2025,0.007222059,0.032566426,0.04159128,0.013111032,0.099466483,0.08592082
5/14/2025,0.001023891,0.032566426,0.039178966,-0.006070028,0.09827418,0.084444539
5/15/2025,0.004123817,0.032566426,0.036614371,0.001980149,0.09827418,0.083355769
5/16/2025,0.006980849,0.032566426,0.034202265,-0.002464381,0.09827418,0.082214939
5/19/2025,0.00087573,0.032566426,0.032356703,0.020248769,0.09827418,0.081130853
5/20/2025,-0.003887777,0.032566426,0.030082937,0.011157569,0.09827418,0.080177324
5/21/2025,-0.016266719,0.032566426,0.028326998,0.026675054,0.09827418,0.07901914
5/22/2025,-0.00044497,0.032566426,0.030910014,0.018027964,0.09827418,0.078894159
5/23/2025,-0.0067309,0.032566426,0.028898881,-0.040062562,0.09827418,0.078449356
5/27/2025,0.020252581,0.032566426,0.027871894,0.015783798,0.09827418,0.080457686
5/28/2025,-0.005586803,0.032566426,0.031166679,-0.010999457,0.09827418,0.079543781
5/29/2025,0.004003171,0.032566426,0.02977984,-0.020245528,0.09827418,0.07884683
5/30/2025,-8.12E-05,0.032566426,0.028130588,-0.015676575,0.09827418,0.078833794
6/2/2025,0.004093651,0.032566426,0.02637096,0.017943687,0.09827418,0.078493506
6/3/2025,0.005783534,0.032566426,0.024910449,-0.004250198,0.09827418,0.077468524
6/4/2025,7.37E-05,0.032566426,0.02374628,-0.006666084,0.09827418,0.076605144
6/5/2025,-0.005291358,0.032566426,0.022282306,-0.030597732,0.09827418,0.075323773
6/6/2025,0.010228196,0.032566426,0.021675635,0.027330353,0.09827418,0.076184581
6/9/2025,0.000919525,0.032566426,0.021959602,0.05501327,0.09827418,0.0769368
6/10/2025,0.005468013,0.032566426,0.020663387,-0.000334318,0.09827418,0.081158355
6/11/2025,-0.00274766,0.032566426,0.019863496,-0.014347389,0.09827418,0.080160186
6/12/2025,0.003815133,0.032566426,0.019032151,-0.025699167,0.09827418,0.079045912
6/13/2025,-0.011360669,0.032566426,0.018170562,0.001527347,0.09827418,0.079530791
6/16/2025,0.009348823,0.032566426,0.020424338,0.006630647,0.097292001,0.078570787
6/17/2025,-0.00838726,0.032566426,0.020639912,-0.020773336,0.097292001,0.077404447
6/18/2025,-0.000309288,0.032566426,0.021097151,0.00269434,0.097292001,0.077434935
6/20/2025,-0.002181035,0.032566426,0.020026905,-0.015118252,0.097292001,0.076254779
6/23/2025,0.009560655,0.032566426,0.019174294,0.02171755,0.097292001,0.076147074
6/24/2025,0.011060329,0.032566426,0.019694169,0.004421629,0.097292001,0.076684407
6/25/2025,-3.29E-06,0.032566426,0.020465708,0.012329889,0.097292001,0.075825815
6/26/2025,0.007988131,0.032566426,0.019412812,-0.003744456,0.097292001,0.074877297
6/27/2025,0.005205399,0.032566426,0.019353108,0.001200006,0.097292001,0.074039561
6/30/2025,0.005151138,0.032566426,0.018726578,0.000437918,0.097292001,0.072455948
7/1/2025,-0.001119157,0.032566426,0.018117354,-0.013504225,0.097292001,0.070869404
7/2/2025,0.004733874,0.032566426,0.017332197,0.029467777,0.097292001,0.070009308
7/3/2025,0.008304378,0.032566426,0.016811044,0.007218612,0.097292001,0.071390499
7/7/2025,-0.007893368,0.032566426,0.017229685,-0.012371238,0.097292001,0.070297966
7/8/2025,-0.000716143,0.032566426,0.018111013,0.005987788,0.097292001,0.069461741
7/9/2025,0.006043803,0.032566426,0.017277714,0.021576245,0.097292001,0.067984526
7/10/2025,0.002742441,0.032566426,0.01701027,0.041012051,0.097292001,0.067892514
7/11/2025,-0.003302972,0.032566426,0.016281391,0.01310307,0.097292001,0.071430533
7/14/2025,0.001406424,0.032566426,0.016002249,0.019655546,0.097292001,0.070290421
7/15/2025,-0.003964145,0.032566426,0.015291169,-0.017443886,0.097292001,0.069925525
7/16/2025,0.003188569,0.032566426,0.015303785,0.008129064,0.097292001,0.069839336
7/17/2025,0.00535938,0.032566426,0.014791505,0.004632532,0.097292001,0.069211965
7/18/2025,-9.05E-05,0.032566426,0.014711875,-0.010844226,0.097292001,0.067631869
7/21/2025,0.001398157,0.032566426,0.014150892,-0.004788328,0.097292001,0.067083179
7/22/2025,0.000637328,0.032566426,0.01362592,0.021529886,0.097292001,0.066589301
7/23/2025,0.007781532,0.032566426,0.013142366,-0.010391308,0.097292001,0.067337031
7/24/2025,0.00069798,0.032566426,0.013863707,-0.003263803,0.097292001,0.066355923
7/25/2025,0.003966451,0.032566426,0.013472255,-0.006204301,0.097292001,0.064712915
7/28/2025,0.000176842,0.032566426,0.01321401,0.002450276,0.097292001,0.063967084
7/29/2025,-0.00296383,0.032566426,0.012730434,-1.97E-05,0.097292001,0.063127635
7/30/2025,-0.001250214,0.032566426,0.012828167,-0.000771662,0.097292001,0.061611274
7/31/2025,-0.003701662,0.032566426,0.012519224,-0.017749426,0.097292001,0.060262279
8/1/2025,-0.016121387,0.032566426,0.012821599,-0.021287126,0.097292001,0.060763438
8/4/2025,0.014629564,0.032566426,0.019572569,0.015340568,0.097292001,0.062184904
8/5/2025,-0.004869704,0.032566426,0.02209594,-0.008118573,0.097292001,0.06271271
8/6/2025,0.007255522,0.032566426,0.021409638,0.007737149,0.097292001,0.061441433
8/7/2025,-0.000797798,0.032566426,0.020911872,0.02123636,0.097292001,0.059832119
8/8/2025,0.007769455,0.032566426,0.019805685,-0.006902004,0.097292001,0.060665907
8/11/2025,-0.002507268,0.032566426,0.019636526,0.017354248,0.097292001,0.060176966
8/12/2025,0.011281559,0.032566426,0.018843424,0.01206741,0.097292001,0.060519345
8/13/2025,0.003224873,0.032566426,0.019951198,0.026046115,0.097292001,0.05979977
8/14/2025,0.000303045,0.032566426,0.018989155,-0.041250443,0.097292001,0.061234603
8/15/2025,-0.00290134,0.032566426,0.018013399,-0.008154397,0.097292001,0.066769857
8/18/2025,-0.000100768,0.032566426,0.01748793,-0.009809929,0.097292001,0.066207878
8/19/2025,-0.005875329,0.032566426,0.016696653,-0.02987022,0.097292001,0.064921298
8/20/2025,-0.002434631,0.032566426,0.017018215,0.012712852,0.097292001,0.067367567
8/21/2025,-0.00401222,0.032566426,0.016484648,-0.016372328,0.097292001,0.066590192
8/22/2025,0.015072285,0.032566426,0.016321857,0.038863926,0.097292001,0.066744508
8/25/2025,-0.004275513,0.032566426,0.019735678,-0.059486971,0.097292001,0.070740482
8/26/2025,0.004125474,0.032566426,0.019206477,0.015125123,0.097292001,0.079617747
8/27/2025,0.00238813,0.032566426,0.018398503,-0.005206553,0.097292001,0.077959559
8/28/2025,0.003151747,0.032566426,0.017524482,0.01182264,0.097292001,0.0766524
8/29/2025,-0.00641874,0.032566426,0.016792593,-0.03742336,0.097292001,0.075058975
9/2/2025,-0.00694635,0.032566426,0.017200987,0.025407604,0.097292001,0.077342897
9/3/2025,0.005087112,0.032566426,0.017701972,0.004688831,0.097292001,0.078324466
9/4/2025,0.008311847,0.032566426,0.017200967,-0.008987462,0.097292001,0.076448676
9/5/2025,-0.003170173,0.032566426,0.01749107,-0.000656057,0.097292001,0.074812265
9/8/2025,0.002103764,0.032566426,0.017047004,0.01275547,0.097292001,0.073502669
9/9/2025,0.002684547,0.032566426,0.01628357,-0.004837917,0.097292001,0.072156187
9/10/2025,0.002979028,0.032566426,0.015628978,0.021508271,0.097292001,0.071269855
9/11/2025,0.008450088,0.032566426,0.015055418,0.013529014,0.097292001,0.071243948
9/12/2025,-0.000482878,0.032566426,0.015692198,0.00512968,0.097292001,0.070115658
9/15/2025,0.004695578,0.032566426,0.015078063,-0.005672338,0.097292001,0.068617739
9/16/2025,-0.00128876,0.032566426,0.014759133,0.012039615,0.087222347,0.067627947
9/17/2025,-0.000970639,0.032566426,0.014289774,-0.003211841,0.087222347,0.067073253
9/18/2025,0.004777688,0.032566426,0.013834802,0.005725007,0.087222347,0.066308887
9/19/2025,0.004873524,0.032566426,0.013684515,-0.012441583,0.087222347,0.065258757
9/22/2025,0.004400351,0.032566426,0.013528158,-0.025744597,0.087222347,0.065026117
9/23/2025,-0.005517352,0.032566426,0.013284195,-0.006531417,0.087222347,0.066049813
9/24/2025,-0.002850677,0.032566426,0.014006697,0.011663526,0.087222347,0.065097377
9/25/2025,-0.005021649,0.032566426,0.013876501,-0.03849188,0.087222347,0.064150232
9/26/2025,0.005884489,0.032566426,0.014342673,0.006066325,0.087222347,0.067941029
9/29/2025,0.002632077,0.032566426,0.01435624,0.041838127,0.087222347,0.067112482
9/30/2025,0.004082504,0.032566426,0.013796769,-0.003014116,0.087222347,0.070512102
10/1/2025,0.003394154,0.032566426,0.013512139,0.039478653,0.087222347,0.069636199
10/2/2025,0.000618164,0.032566426,0.01310983,0.016983875,0.087222347,0.07285182
10/3/2025,6.55E-05,0.032566426,0.012629569,0.013050507,0.087222347,0.072398836
10/6/2025,0.003639959,0.032566426,0.012154227,0.020128681,0.087222347,0.071202974
10/7/2025,-0.003818688,0.032566426,0.011906043,-0.026817984,0.087222347,0.071484668
10/8/2025,0.005810748,0.032566426,0.012310926,0.015551259,0.087222347,0.072369767
10/9/2025,-0.002759374,0.032566426,0.012590415,-0.013460402,0.087222347,0.071788209
10/10/2025,-0.027485975,0.032566426,0.012588146,-0.072321822,0.087222347,0.070844704
10/13/2025,0.015478263,0.032566426,0.028250415,0.018003479,0.087222347,0.081056981
10/14/2025,-0.001565551,0.032566426,0.029484953,-0.018849163,0.087222347,0.079951021
10/15/2025,0.004017919,0.032566426,0.027601175,-0.020862578,0.087222347,0.079592825
10/16/2025,-0.00631428,0.032566426,0.02596579,-0.023722485,0.087222347,0.079338872
10/17/2025,0.005256874,0.032566426,0.025181738,-0.01600984,0.087222347,0.079520093
10/20/2025,0.010615724,0.032566426,0.023942351,0.037977502,0.087222347,0.07880619
10/21/2025,3.27E-05,0.032566426,0.024049214,-0.01928283,0.087222347,0.080684946
10/22/2025,-0.005351835,0.032566426,0.02264062,-0.007293562,0.087222347,0.080467367
10/23/2025,0.00581048,0.032566426,0.022079964,0.021870444,0.087222347,0.079449307
10/24/2025,0.007871362,0.032566426,0.021293999,0.008721714,0.087222347,0.079447315
10/27/2025,0.012215141,0.032566426,0.020965974,0.027408882,0.087222347,0.078464697
10/28/2025,0.002285331,0.032566426,0.02197582,-0.010244824,0.087222347,0.078641016
10/29/2025,-4.36E-05,0.032566426,0.020808305,-0.026016805,0.087222347,0.078079514
10/30/2025,-0.009954191,0.032566426,0.01977076,-0.016026639,0.087222347,0.077971458
10/31/2025,0.002614501,0.032566426,0.020904082,0.011480961,0.087222347,0.077449971
